"month","year","state","average_temp"
"02",1992,"nebraska",34.2
"02",1992,"nevada",35
"02",1992,"new hampshire",20.1
"02",1992,"new jersey",33.7
"02",1992,"new mexico",35.5
"02",1992,"new york",23
"02",1992,"north carolina",43.8
"02",1992,"north dakota",22.4
"02",1992,"ohio",32.4
"02",1992,"oklahoma",44.2
"02",1992,"oregon",38
"02",1992,"pennsylvania",29.6
"02",1992,"rhode island",30.1
"02",1992,"south carolina",48
"02",1992,"south dakota",29.4
"02",1992,"tennessee",41.8
"02",1992,"texas",49.2
"02",1992,"utah",29.8
"02",1992,"vermont",17.4
"02",1992,"virginia",38.9
"02",1992,"washington",37.1
"02",1992,"west virginia",34.6
"02",1992,"wisconsin",22.8
"02",1992,"wyoming",26.4
"03",1992,"alabama",53.2
"03",1992,"arizona",48.6
"03",1992,"arkansas",50.6
"03",1992,"california",50
"03",1992,"colorado",35
"03",1992,"connecticut",31.7
"03",1992,"delaware",39.5
"03",1992,"florida",62.8
"03",1992,"georgia",53.7
"03",1992,"idaho",37.7
"03",1992,"illinois",40
"03",1992,"indiana",39
"03",1992,"iowa",35.5
"03",1992,"kansas",44.8
"03",1992,"kentucky",44
"03",1992,"louisiana",57.9
"03",1992,"maine",19.6
"03",1992,"maryland",39.4
"03",1992,"massachusetts",30.2
"03",1992,"michigan",27
"03",1992,"minnesota",26
"03",1992,"mississippi",53.9
"03",1992,"missouri",44
"03",1992,"montana",35.5
"03",1992,"nebraska",39.4
"03",1992,"nevada",41.4
"03",1992,"new hampshire",23.8
"03",1992,"new jersey",36.3
"03",1992,"new mexico",42.4
"03",1992,"new york",25.7
"03",1992,"north carolina",47.3
"03",1992,"north dakota",28.8
"03",1992,"ohio",36.9
"03",1992,"oklahoma",50.4
"03",1992,"oregon",42.8
"03",1992,"pennsylvania",32.6
"03",1992,"rhode island",32.6
"03",1992,"south carolina",51.9
"03",1992,"south dakota",34.8
"03",1992,"tennessee",46.7
"03",1992,"texas",56
"03",1992,"utah",38.4
"03",1992,"vermont",21.2
"03",1992,"virginia",42.3
"03",1992,"washington",42.4
"03",1992,"west virginia",39
"03",1992,"wisconsin",27.8
"03",1992,"wyoming",33.4
"04",1992,"alabama",58.2
"04",1992,"arizona",55.7
"04",1992,"arkansas",56.5
"04",1992,"california",54.8
"04",1992,"colorado",43.2
"04",1992,"connecticut",39
"04",1992,"delaware",46.4
"04",1992,"florida",65.9
"04",1992,"georgia",58.2
"04",1992,"idaho",43.4
"04",1992,"illinois",46.8
"04",1992,"indiana",45.7
"04",1992,"iowa",42.5
"04",1992,"kansas",51.2
"04",1992,"kentucky",50.6
"04",1992,"louisiana",62.6
"04",1992,"maine",30
"04",1992,"maryland",46.8
"04",1992,"massachusetts",37.6
"04",1992,"michigan",34.6
"04",1992,"minnesota",34.3
"04",1992,"mississippi",59.2
"04",1992,"missouri",50.9
"04",1992,"montana",41.2
"04",1992,"nebraska",45.2
"04",1992,"nevada",48.2
"04",1992,"new hampshire",32.6
"04",1992,"new jersey",43.2
"04",1992,"new mexico",50
"04",1992,"new york",34.6
"04",1992,"north carolina",53
"04",1992,"north dakota",36.7
"04",1992,"ohio",44.2
"04",1992,"oklahoma",56.4
"04",1992,"oregon",46.4
"04",1992,"pennsylvania",40.6
"04",1992,"rhode island",39.4
"04",1992,"south carolina",57.1
"04",1992,"south dakota",41.3
"04",1992,"tennessee",52.8
"04",1992,"texas",61.7
"04",1992,"utah",47.4
"04",1992,"vermont",31
"04",1992,"virginia",49.2
"04",1992,"washington",46.4
"04",1992,"west virginia",45.8
"04",1992,"wisconsin",35.2
"04",1992,"wyoming",40.6
"05",1992,"alabama",64.8
"05",1992,"arizona",63.9
"05",1992,"arkansas",63.6
"05",1992,"california",63
"05",1992,"colorado",51.4
"05",1992,"connecticut",50.4
"05",1992,"delaware",55.2
"05",1992,"florida",70.3
"05",1992,"georgia",64.5
"05",1992,"idaho",50.5
"05",1992,"illinois",56.1
"05",1992,"indiana",54.9
"05",1992,"iowa",53
"05",1992,"kansas",58.6
"05",1992,"kentucky",58.8
"05",1992,"louisiana",68.3
"05",1992,"maine",44.1
"05",1992,"maryland",55.7
"05",1992,"massachusetts",49
"05",1992,"michigan",47.4
"05",1992,"minnesota",48.2
"05",1992,"mississippi",66
"05",1992,"missouri",58.6
"05",1992,"montana",48.6
"05",1992,"nebraska",54.2
"05",1992,"nevada",57.4
"05",1992,"new hampshire",45.8
"05",1992,"new jersey",53
"05",1992,"new mexico",57
"05",1992,"new york",48
"05",1992,"north carolina",59.7
"05",1992,"north dakota",48.6
"05",1992,"ohio",53.8
"05",1992,"oklahoma",62.8
"05",1992,"oregon",52.9
"05",1992,"pennsylvania",51.3
"05",1992,"rhode island",50
"05",1992,"south carolina",63.8
"05",1992,"south dakota",51.6
"05",1992,"tennessee",60.3
"05",1992,"texas",67
"05",1992,"utah",55.8
"05",1992,"vermont",45.4
"05",1992,"virginia",56.6
"05",1992,"washington",51.8
"05",1992,"west virginia",54.2
"05",1992,"wisconsin",48.3
"05",1992,"wyoming",48.6
"06",1992,"alabama",71.4
"06",1992,"arizona",70.1
"06",1992,"arkansas",70.4
"06",1992,"california",68
"06",1992,"colorado",57.2
"06",1992,"connecticut",60.4
"06",1992,"delaware",63.5
"06",1992,"florida",76.3
"06",1992,"georgia",71.5
"06",1992,"idaho",57.8
"06",1992,"illinois",65
"06",1992,"indiana",63.1
"06",1992,"iowa",63.8
"06",1992,"kansas",65.7
"06",1992,"kentucky",65.4
"06",1992,"louisiana",75.1
"06",1992,"maine",55.8
"06",1992,"maryland",63.6
"06",1992,"massachusetts",59.4
"06",1992,"michigan",57.4
"06",1992,"minnesota",59.3
"06",1992,"mississippi",72.8
"06",1992,"missouri",66.1
"06",1992,"montana",57.2
"06",1992,"nebraska",62.4
"06",1992,"nevada",63.3
"06",1992,"new hampshire",56.7
"06",1992,"new jersey",62.2
"06",1992,"new mexico",63.2
"06",1992,"new york",57.8
"06",1992,"north carolina",66.3
"06",1992,"north dakota",59.2
"06",1992,"ohio",61.6
"06",1992,"oklahoma",69.4
"06",1992,"oregon",59.8
"06",1992,"pennsylvania",59.4
"06",1992,"rhode island",60.2
"06",1992,"south carolina",70.4
"06",1992,"south dakota",61.4
"06",1992,"tennessee",66.9
"06",1992,"texas",73.8
"06",1992,"utah",61.6
"06",1992,"vermont",56.2
"06",1992,"virginia",63.4
"06",1992,"washington",59.7
"06",1992,"west virginia",61.1
"06",1992,"wisconsin",58.9
"06",1992,"wyoming",55.6
"07",1992,"alabama",77.4
"07",1992,"arizona",75.8
"07",1992,"arkansas",76.6
"07",1992,"california",71.4
"07",1992,"colorado",62
"07",1992,"connecticut",66.4
"07",1992,"delaware",71.9
"07",1992,"florida",81.2
"07",1992,"georgia",77.7
"07",1992,"idaho",61.4
"07",1992,"illinois",71
"07",1992,"indiana",69.6
"07",1992,"iowa",67.9
"07",1992,"kansas",72.1
"07",1992,"kentucky",72.4
"07",1992,"louisiana",80.2
"07",1992,"maine",60.8
"07",1992,"maryland",71.7
"07",1992,"massachusetts",65.2
"07",1992,"michigan",61.6
"07",1992,"minnesota",61.6
"07",1992,"mississippi",78.4
"07",1992,"missouri",72.8
"07",1992,"montana",60.4
"07",1992,"nebraska",66.6
"07",1992,"nevada",67.6
"07",1992,"new hampshire",61.9
"07",1992,"new jersey",69.6
"07",1992,"new mexico",69.2
"07",1992,"new york",62.9
"07",1992,"north carolina",74.6
"07",1992,"north dakota",61.6
"07",1992,"ohio",68.3
"07",1992,"oklahoma",76.2
"07",1992,"oregon",63.1
"07",1992,"pennsylvania",66.1
"07",1992,"rhode island",66.4
"07",1992,"south carolina",77.9
"07",1992,"south dakota",63.9
"07",1992,"tennessee",73.6
"07",1992,"texas",79.6
"07",1992,"utah",66.9
"07",1992,"vermont",60.8
"07",1992,"virginia",71.6
"07",1992,"washington",63.8
"07",1992,"west virginia",68.4
"07",1992,"wisconsin",62.4
"07",1992,"wyoming",59.6
"08",1992,"alabama",77.9
"08",1992,"arizona",77.8
"08",1992,"arkansas",76.6
"08",1992,"california",75
"08",1992,"colorado",63.9
"08",1992,"connecticut",67.8
"08",1992,"delaware",73.6
"08",1992,"florida",81.6
"08",1992,"georgia",78.6
"08",1992,"idaho",63.6
"08",1992,"illinois",70.8
"08",1992,"indiana",70.2
"08",1992,"iowa",67
"08",1992,"kansas",73.2
"08",1992,"kentucky",73.3
"08",1992,"louisiana",80
"08",1992,"maine",62.2
"08",1992,"maryland",73
"08",1992,"massachusetts",66.6
"08",1992,"michigan",62.6
"08",1992,"minnesota",62
"08",1992,"mississippi",78.4
"08",1992,"missouri",72.8
"08",1992,"montana",60.6
"08",1992,"nebraska",67.5
"08",1992,"nevada",71.2
"08",1992,"new hampshire",63.1
"08",1992,"new jersey",70.9
"08",1992,"new mexico",70.7
"08",1992,"new york",64.2
"08",1992,"north carolina",76
"08",1992,"north dakota",62.3
"08",1992,"ohio",69.4
"08",1992,"oklahoma",77
"08",1992,"oregon",65.4
"08",1992,"pennsylvania",67.2
"08",1992,"rhode island",68
"08",1992,"south carolina",79.2
"08",1992,"south dakota",64.6
"08",1992,"tennessee",74.4
"08",1992,"texas",79.8
"08",1992,"utah",69.9
"08",1992,"vermont",62.2
"08",1992,"virginia",73
"08",1992,"washington",64.8
"08",1992,"west virginia",69.8
"08",1992,"wisconsin",63
"08",1992,"wyoming",61.4
"09",1992,"alabama",74.6
"09",1992,"arizona",75.4
"09",1992,"arkansas",72.2
"09",1992,"california",73.5
"09",1992,"colorado",61
"09",1992,"connecticut",64.2
"09",1992,"delaware",69.4
"09",1992,"florida",80
"09",1992,"georgia",75.4
"09",1992,"idaho",59.6
"09",1992,"illinois",66.4
"09",1992,"indiana",65.8
"09",1992,"iowa",63.2
"09",1992,"kansas",69.4
"09",1992,"kentucky",68.8
"09",1992,"louisiana",77.3
"09",1992,"maine",59.6
"09",1992,"maryland",68.6
"09",1992,"massachusetts",63.3
"09",1992,"michigan",59.7
"09",1992,"minnesota",58.9
"09",1992,"mississippi",74.9
"09",1992,"missouri",67.9
"09",1992,"montana",57.4
"09",1992,"nebraska",64.7
"09",1992,"nevada",67.9
"09",1992,"new hampshire",60
"09",1992,"new jersey",67.1
"09",1992,"new mexico",67.6
"09",1992,"new york",61.2
"09",1992,"north carolina",71.9
"09",1992,"north dakota",58.8
"09",1992,"ohio",65
"09",1992,"oklahoma",72.9
"09",1992,"oregon",62.2
"09",1992,"pennsylvania",63
"09",1992,"rhode island",64.9
"09",1992,"south carolina",75.1
"09",1992,"south dakota",62.4
"09",1992,"tennessee",70.2
"09",1992,"texas",77.1
"09",1992,"utah",66.4
"09",1992,"vermont",59.4
"09",1992,"virginia",68.6
"09",1992,"washington",60.3
"09",1992,"west virginia",65.9
"09",1992,"wisconsin",59.6
"09",1992,"wyoming",58.3
"10",1992,"alabama",67.6
"10",1992,"arizona",68.6
"10",1992,"arkansas",66
"10",1992,"california",66.7
"10",1992,"colorado",53.8
"10",1992,"connecticut",54.6
"10",1992,"delaware",60.4
"10",1992,"florida",75
"10",1992,"georgia",67.9
"10",1992,"idaho",50.7
"10",1992,"illinois",58.9
"10",1992,"indiana",58
"10",1992,"iowa",55.7
"10",1992,"kansas",62.2
"10",1992,"kentucky",61
"10",1992,"louisiana",71.6
"10",1992,"maine",48.8
"10",1992,"maryland",59.8
"10",1992,"massachusetts",53.5
"10",1992,"michigan",51.2
"10",1992,"minnesota",49.7
"10",1992,"mississippi",68.4
"10",1992,"missouri",61
"10",1992,"montana",49
"10",1992,"nebraska",56.6
"10",1992,"nevada",59
"10",1992,"new hampshire",49.6
"10",1992,"new jersey",57.8
"10",1992,"new mexico",60.8
"10",1992,"new york",51.4
"10",1992,"north carolina",63.6
"10",1992,"north dakota",49.3
"10",1992,"ohio",56.6
"10",1992,"oklahoma",66.7
"10",1992,"oregon",54.2
"10",1992,"pennsylvania",53.8
"10",1992,"rhode island",55.8
"10",1992,"south carolina",66.8
"10",1992,"south dakota",53.8
"10",1992,"tennessee",62.6
"10",1992,"texas",71.7
"10",1992,"utah",57.5
"10",1992,"vermont",48.8
"10",1992,"virginia",60.1
"10",1992,"washington",52
"10",1992,"west virginia",57.4
"10",1992,"wisconsin",50.8
"10",1992,"wyoming",49.9
"11",1992,"alabama",57.2
"11",1992,"arizona",54.8
"11",1992,"arkansas",54.9
"11",1992,"california",56
"11",1992,"colorado",38.8
"11",1992,"connecticut",43.9
"11",1992,"delaware",50.2
"11",1992,"florida",68.8
"11",1992,"georgia",58.4
"11",1992,"idaho",37.6
"11",1992,"illinois",47
"11",1992,"indiana",47.2
"11",1992,"iowa",41.8
"11",1992,"kansas",47.1
"11",1992,"kentucky",50.6
"11",1992,"louisiana",60.6
"11",1992,"maine",36.6
"11",1992,"maryland",49.5
"11",1992,"massachusetts",42.6
"11",1992,"michigan",39.6
"11",1992,"minnesota",35.4
"11",1992,"mississippi",57.6
"11",1992,"missouri",49
"11",1992,"montana",37.2
"11",1992,"nebraska",41.6
"11",1992,"nevada",45
"11",1992,"new hampshire",37.6
"11",1992,"new jersey",47.4
"11",1992,"new mexico",47.1
"11",1992,"new york",40.2
"11",1992,"north carolina",53.9
"11",1992,"north dakota",34.8
"11",1992,"ohio",46.3
"11",1992,"oklahoma",53.8
"11",1992,"oregon",43.7
"11",1992,"pennsylvania",43.6
"11",1992,"rhode island",45.4
"11",1992,"south carolina",57.5
"11",1992,"south dakota",38.6
"11",1992,"tennessee",52.2
"11",1992,"texas",59.6
"11",1992,"utah",42.4
"11",1992,"vermont",36.8
"11",1992,"virginia",50
"11",1992,"washington",42.6
"11",1992,"west virginia",47.3
"11",1992,"wisconsin",37.8
"11",1992,"wyoming",35.6
"12",1992,"alabama",49.8
"12",1992,"arizona",42
"12",1992,"arkansas",45.1
"12",1992,"california",44.9
"12",1992,"colorado",25.2
"12",1992,"connecticut",35.2
"12",1992,"delaware",42.6
"12",1992,"florida",63.8
"12",1992,"georgia",51
"12",1992,"idaho",24.1
"12",1992,"illinois",35.6
"12",1992,"indiana",37
"12",1992,"iowa",28.5
"12",1992,"kansas",33.6
"12",1992,"kentucky",41.3
"12",1992,"louisiana",53.6
"12",1992,"maine",26.9
"12",1992,"maryland",41.4
"12",1992,"massachusetts",34.1
"12",1992,"michigan",30.2
"12",1992,"minnesota",20.2
"12",1992,"mississippi",49.8
"12",1992,"missouri",38.1
"12",1992,"montana",22.6
"12",1992,"nebraska",27.6
"12",1992,"nevada",31.3
"12",1992,"new hampshire",28.6
"12",1992,"new jersey",39.4
"12",1992,"new mexico",35.2
"12",1992,"new york",31.6
"12",1992,"north carolina",46.4
"12",1992,"north dakota",17.6
"12",1992,"ohio",37.6
"12",1992,"oklahoma",42.4
"12",1992,"oregon",32.8
"12",1992,"pennsylvania",35.2
"12",1992,"rhode island",37
"12",1992,"south carolina",50
"12",1992,"south dakota",23.3
"12",1992,"tennessee",43.5
"12",1992,"texas",50.2
"12",1992,"utah",27.6
"12",1992,"vermont",28.2
"12",1992,"virginia",42
"12",1992,"washington",32
"12",1992,"west virginia",38.8
"12",1992,"wisconsin",25.6
"12",1992,"wyoming",21
"01",1993,"alabama",48
"01",1993,"arizona",41
"01",1993,"arkansas",40.7
"01",1993,"california",40.8
"01",1993,"colorado",22.9
"01",1993,"connecticut",30
"01",1993,"delaware",38.3
"01",1993,"florida",62
"01",1993,"georgia",48.8
"01",1993,"idaho",19.6
"01",1993,"illinois",29.2
"01",1993,"indiana",31.2
"01",1993,"iowa",20.8
"01",1993,"kansas",27.2
"01",1993,"kentucky",37.1
"01",1993,"louisiana",51.8
"01",1993,"maine",18.8
"01",1993,"maryland",36.8
"01",1993,"massachusetts",28.8
"01",1993,"michigan",24
"01",1993,"minnesota",10.8
"01",1993,"mississippi",47.8
"01",1993,"missouri",31.9
"01",1993,"montana",13.8
"01",1993,"nebraska",20.5
"01",1993,"nevada",26.6
"01",1993,"new hampshire",22.8
"01",1993,"new jersey",35
"01",1993,"new mexico",34.7
"01",1993,"new york",25.6
"01",1993,"north carolina",42.8
"01",1993,"north dakota",7.6
"01",1993,"ohio",32.6
"01",1993,"oklahoma",37.2
"01",1993,"oregon",27.5
"01",1993,"pennsylvania",30.4
"01",1993,"rhode island",31.4
"01",1993,"south carolina",46.8
"01",1993,"south dakota",15.1
"01",1993,"tennessee",40
"01",1993,"texas",47
"01",1993,"utah",24.5
"01",1993,"vermont",21.8
"01",1993,"virginia",38.1
"01",1993,"washington",25.8
"01",1993,"west virginia",35
"01",1993,"wisconsin",17.9
"01",1993,"wyoming",16.3
"02",1993,"alabama",47.5
"02",1993,"arizona",44
"02",1993,"arkansas",40.4
"02",1993,"california",42.6
"02",1993,"colorado",24.5
"02",1993,"connecticut",26.2
"02",1993,"delaware",35
"02",1993,"florida",60.8
"02",1993,"georgia",48.4
"02",1993,"idaho",20.8
"02",1993,"illinois",27.4
"02",1993,"indiana",28.4
"02",1993,"iowa",18.2
"02",1993,"kansas",26.4
"02",1993,"kentucky",36
"02",1993,"louisiana",51.3
"02",1993,"maine",11.1
"02",1993,"maryland",34.2
"02",1993,"massachusetts",24.2
"02",1993,"michigan",19.6
"02",1993,"minnesota",9.8
"02",1993,"mississippi",47.4
"02",1993,"missouri",30.2
"02",1993,"montana",13.6
"02",1993,"nebraska",18.6
"02",1993,"nevada",28.4
"02",1993,"new hampshire",16.5
"02",1993,"new jersey",31.8
"02",1993,"new mexico",37.5
"02",1993,"new york",19.6
"02",1993,"north carolina",41.8
"02",1993,"north dakota",7.8
"02",1993,"ohio",29.4
"02",1993,"oklahoma",36.8
"02",1993,"oregon",27.8
"02",1993,"pennsylvania",27
"02",1993,"rhode island",27.2
"02",1993,"south carolina",46.6
"02",1993,"south dakota",13.4
"02",1993,"tennessee",39.6
"02",1993,"texas",47.4
"02",1993,"utah",26.8
"02",1993,"vermont",14.4
"02",1993,"virginia",36.8
"02",1993,"washington",27.1
"02",1993,"west virginia",33.6
"02",1993,"wisconsin",16
"02",1993,"wyoming",16.2
"03",1993,"alabama",49
"03",1993,"arizona",48.2
"03",1993,"arkansas",45.2
"03",1993,"california",48.4
"03",1993,"colorado",30.7
"03",1993,"connecticut",28.1
"03",1993,"delaware",36
"03",1993,"florida",60.2
"03",1993,"georgia",49.6
"03",1993,"idaho",28.8
"03",1993,"illinois",31.9
"03",1993,"indiana",31.7
"03",1993,"iowa",25
"03",1993,"kansas",34.6
"03",1993,"kentucky",38.2
"03",1993,"louisiana",54
"03",1993,"maine",15.8
"03",1993,"maryland",35.3
"03",1993,"massachusetts",26.3
"03",1993,"michigan",23.4
"03",1993,"minnesota",18.6
"03",1993,"mississippi",49.7
"03",1993,"missouri",35.6
"03",1993,"montana",24.8
"03",1993,"nebraska",27.5
"03",1993,"nevada",37.2
"03",1993,"new hampshire",19.4
"03",1993,"new jersey",32.5
"03",1993,"new mexico",41.6
"03",1993,"new york",21.2
"03",1993,"north carolina",43.2
"03",1993,"north dakota",18.9
"03",1993,"ohio",31.2
"03",1993,"oklahoma",43
"03",1993,"oregon",35.2
"03",1993,"pennsylvania",28.2
"03",1993,"rhode island",29.3
"03",1993,"south carolina",48
"03",1993,"south dakota",23.1
"03",1993,"tennessee",41.8
"03",1993,"texas",52.6
"03",1993,"utah",34.2
"03",1993,"vermont",17.2
"03",1993,"virginia",38
"03",1993,"washington",34.4
"03",1993,"west virginia",34.4
"03",1993,"wisconsin",22.6
"03",1993,"wyoming",24
"04",1993,"alabama",55.2
"04",1993,"arizona",55.2
"04",1993,"arkansas",52.6
"04",1993,"california",54
"04",1993,"colorado",39.1
"04",1993,"connecticut",40.2
"04",1993,"delaware",46
"04",1993,"florida",64.2
"04",1993,"georgia",55.8
"04",1993,"idaho",37.3
"04",1993,"illinois",43
"04",1993,"indiana",43.1
"04",1993,"iowa",38
"04",1993,"kansas",45.5
"04",1993,"kentucky",47.6
"04",1993,"louisiana",59
"04",1993,"maine",32.2
"04",1993,"maryland",45.6
"04",1993,"massachusetts",38.8
"04",1993,"michigan",34.7
"04",1993,"minnesota",33
"04",1993,"mississippi",55.8
"04",1993,"missouri",45.9
"04",1993,"montana",38
"04",1993,"nebraska",40.7
"04",1993,"nevada",45.5
"04",1993,"new hampshire",34.8
"04",1993,"new jersey",43.4
"04",1993,"new mexico",48.6
"04",1993,"new york",35.9
"04",1993,"north carolina",51
"04",1993,"north dakota",34.8
"04",1993,"ohio",42.3
"04",1993,"oklahoma",51.8
"04",1993,"oregon",42
"04",1993,"pennsylvania",40.1
"04",1993,"rhode island",40.6
"04",1993,"south carolina",54.7
"04",1993,"south dakota",37.8
"04",1993,"tennessee",49.8
"04",1993,"texas",59.5
"04",1993,"utah",42.8
"04",1993,"vermont",33.5
"04",1993,"virginia",47
"04",1993,"washington",41.8
"04",1993,"west virginia",44
"04",1993,"wisconsin",34.1
"04",1993,"wyoming",35.2
"05",1993,"alabama",63.8
"05",1993,"arizona",63
"05",1993,"arkansas",61.6
"05",1993,"california",58.8
"05",1993,"colorado",47.4
"05",1993,"connecticut",53.3
"05",1993,"delaware",57.9
"05",1993,"florida",69.9
"05",1993,"georgia",64.4
"05",1993,"idaho",46.7
"05",1993,"illinois",56.2
"05",1993,"indiana",55.7
"05",1993,"iowa",52.1
"05",1993,"kansas",56.2
"05",1993,"kentucky",58.7
"05",1993,"louisiana",66.5
"05",1993,"maine",45.7
"05",1993,"maryland",58
"05",1993,"massachusetts",51.8
"05",1993,"michigan",47.2
"05",1993,"minnesota",47
"05",1993,"mississippi",64.2
"05",1993,"missouri",57.3
"05",1993,"montana",47.6
"05",1993,"nebraska",51.8
"05",1993,"nevada",52.6
"05",1993,"new hampshire",48.4
"05",1993,"new jersey",56.1
"05",1993,"new mexico",56.4
"05",1993,"new york",49.7
"05",1993,"north carolina",61.2
"05",1993,"north dakota",47.8
"05",1993,"ohio",54.6
"05",1993,"oklahoma",61
"05",1993,"oregon",48.8
"05",1993,"pennsylvania",53
"05",1993,"rhode island",53
"05",1993,"south carolina",64.2
"05",1993,"south dakota",49.6
"05",1993,"tennessee",60
"05",1993,"texas",66.8
"05",1993,"utah",51.2
"05",1993,"vermont",47.4
"05",1993,"virginia",58.5
"05",1993,"washington",50.8
"05",1993,"west virginia",55.5
"05",1993,"wisconsin",47.3
"05",1993,"wyoming",44.6
"06",1993,"alabama",73.2
"06",1993,"arizona",70.8
"06",1993,"arkansas",71.7
"06",1993,"california",65.2
"06",1993,"colorado",56.4
"06",1993,"connecticut",62.8
"06",1993,"delaware",67.6
"06",1993,"florida",77.1
"06",1993,"georgia",73.9
"06",1993,"idaho",53.7
"06",1993,"illinois",66.8
"06",1993,"indiana",65.8
"06",1993,"iowa",63
"06",1993,"kansas",66.9
"06",1993,"kentucky",68
"06",1993,"louisiana",75.4
"06",1993,"maine",55.7
"06",1993,"maryland",67.5
"06",1993,"massachusetts",61.4
"06",1993,"michigan",57.6
"06",1993,"minnesota",57.2
"06",1993,"mississippi",73.8
"06",1993,"missouri",67.7
"06",1993,"montana",54.8
"06",1993,"nebraska",61.7
"06",1993,"nevada",59.6
"06",1993,"new hampshire",57.8
"06",1993,"new jersey",65.6
"06",1993,"new mexico",64.8
"06",1993,"new york",58.8
"06",1993,"north carolina",70.8
"06",1993,"north dakota",56.5
"06",1993,"ohio",64.2
"06",1993,"oklahoma",71.1
"06",1993,"oregon",55
"06",1993,"pennsylvania",62.2
"06",1993,"rhode island",62.6
"06",1993,"south carolina",74
"06",1993,"south dakota",58.8
"06",1993,"tennessee",69.4
"06",1993,"texas",74.8
"06",1993,"utah",59.3
"06",1993,"vermont",56.4
"06",1993,"virginia",67.6
"06",1993,"washington",57
"06",1993,"west virginia",64.2
"06",1993,"wisconsin",58.2
"06",1993,"wyoming",52.6
"07",1993,"alabama",79.9
"07",1993,"arizona",76.2
"07",1993,"arkansas",79.8
"07",1993,"california",70.1
"07",1993,"colorado",63.1
"07",1993,"connecticut",69.4
"07",1993,"delaware",75
"07",1993,"florida",81.4
"07",1993,"georgia",80.6
"07",1993,"idaho",54.9
"07",1993,"illinois",73.6
"07",1993,"indiana",72.8
"07",1993,"iowa",69.4
"07",1993,"kansas",74.6
"07",1993,"kentucky",75.6
"07",1993,"louisiana",81.3
"07",1993,"maine",62.6
"07",1993,"maryland",74.6
"07",1993,"massachusetts",67.9
"07",1993,"michigan",65.2
"07",1993,"minnesota",63.4
"07",1993,"mississippi",80.3
"07",1993,"missouri",75.2
"07",1993,"montana",56.5
"07",1993,"nebraska",68
"07",1993,"nevada",64.3
"07",1993,"new hampshire",64.4
"07",1993,"new jersey",72.8
"07",1993,"new mexico",71.4
"07",1993,"new york",66
"07",1993,"north carolina",77.6
"07",1993,"north dakota",60.6
"07",1993,"ohio",71.4
"07",1993,"oklahoma",79.8
"07",1993,"oregon",56.5
"07",1993,"pennsylvania",69
"07",1993,"rhode island",69.1
"07",1993,"south carolina",81.1
"07",1993,"south dakota",64.1
"07",1993,"tennessee",77
"07",1993,"texas",81
"07",1993,"utah",64.6
"07",1993,"vermont",63.4
"07",1993,"virginia",74.6
"07",1993,"washington",57.9
"07",1993,"west virginia",71.1
"07",1993,"wisconsin",64.7
"07",1993,"wyoming",56.6
"08",1993,"alabama",81.1
"08",1993,"arizona",77.9
"08",1993,"arkansas",82.2
"08",1993,"california",72.7
"08",1993,"colorado",64.9
"08",1993,"connecticut",71.8
"08",1993,"delaware",77.1
"08",1993,"florida",82.4
"08",1993,"georgia",81.6
"08",1993,"idaho",58
"08",1993,"illinois",75.8
"08",1993,"indiana",74.9
"08",1993,"iowa",71.8
